uid,total
1C2F2Ti3-1,"[[1.637159379988064, 0.0, 0.0], [0.0, 1.637159379988064, 0.0], [0.0, 0.0, -0.27083521030722996]]"
1C2F2Zr3-1,"[[1.4977173023441464, 0.0, 0.0], [0.0, 1.4977173023441464, 0.0], [0.0, 0.0, -0.23284413391781958]]"
1C2H2Hf3-1,"[[1.381241468195862, 0.0, 0.0], [0.0, 1.381241468195862, 0.0], [0.0, 0.0, -0.23136189875238555]]"
1C2H2Ti3-1,"[[1.4188148474414222, 0.0, 0.0], [0.0, 1.4188148474414222, 0.0], [0.0, 0.0, -0.25103713874383854]]"
1C2H2Zr3-1,"[[1.4705574852172743, 0.0, 0.0], [0.0, 1.4705574852172743, 0.0], [0.0, 0.0, -0.19928292171761497]]"
1C2S2Nb3-1,"[[1.8086227832689434, 0.0, 0.0], [0.0, 1.8086227832689434, 0.0], [0.0, 0.0, -0.08990945440593186]]"
1C2S2Ta3-1,"[[2.037729203254009, 0.0, 0.0], [0.0, 2.037729203254009, 0.0], [0.0, 0.0, -0.12090412049992724]]"
1C2S2V3-1,"[[1.5129777393434147, 0.0, 0.0], [0.0, 1.5129777393434147, 0.0], [0.0, 0.0, -0.11633856484638239]]"
1Cl2Ge2O3-1,"[[0.07151380509508916, 0.0, 0.0], [0.0, 0.006893707947900456, 0.0], [0.0, 0.0, -0.3957739469155299]]"
1Cl2N2Sc3-1,"[[0.6785183790401139, 0.0, 0.0], [0.0, 0.6785183790401139, 0.0], [0.0, 0.0, -0.15552282425431863]]"
1Cl2N2Y3-1,"[[0.6525364185930255, 0.0, 0.0], [0.0, 0.6525364185930255, 0.0], [0.0, 0.0, -0.12033079436794646]]"
1Cl2V2O3-1,"[[0.5223137951566674, 0.0, 0.0], [0.0, 0.551327988003846, 0.0], [0.0, 0.0, -0.5528419686577808]]"
1F2N2Sc3-1,"[[0.5483894181329182, 0.0, 0.0], [0.0, 0.5483894181329182, 0.0], [0.0, 0.0, -0.27002571430044436]]"
1F2N2Y3-1,"[[0.5398285583778982, 0.0, 0.0], [0.0, 0.5398285583778982, 0.0], [0.0, 0.0, -0.22621355501880647]]"
1H2N2Ti3-1,"[[1.3969660978447664, 0.0, 0.0], [0.0, 1.3969660978447664, 0.0], [0.0, 0.0, -0.21395878975744578]]"
1N2O2Hf3-1,"[[1.044814047528638, 0.0, 0.0], [0.0, 1.044814047528638, 0.0], [0.0, 0.0, -0.24872089601665776]]"
1N2O2Ti3-1,"[[1.50044231785749, 0.0, 0.0], [0.0, 1.50044231785749, 0.0], [0.0, 0.0, -0.25258819211357664]]"
1N2O2Zr3-1,"[[1.1348462089247706, 0.0, 0.0], [0.0, 1.1348462089247706, 0.0], [0.0, 0.0, -0.2196826878598487]]"
1N2S2Hf3-1,"[[1.161517733138683, 0.0, 0.0], [0.0, 1.161517733138683, 0.0], [0.0, 0.0, -0.13786862068696282]]"
1N2S2Ti3-1,"[[1.5030958008377788, 0.0, 0.0], [0.0, 1.5030958008377788, 0.0], [0.0, 0.0, -0.13786862068696282]]"
1N2S2Zr3-1,"[[1.2434349365200879, 0.0, 0.0], [0.0, 1.2434349365200879, 0.0], [0.0, 0.0, -0.11407366019856895]]"
1S2Se2Mn3-1,"[[1.3532043199074202, 0.0, 0.0], [0.0, 1.321287665169863, 0.0], [0.0, 0.0, -0.04239271293990473]]"
1Ag2I2Sr3O4-1,"[[0.6238692683503023, 0.0, 0.0], [0.0, 0.6238692683503023, 0.0], [0.0, 0.0, -0.06550154875643228]]"
1Ag2I2Sr3S4-1,"[[0.7996850909091004, 0.0, 0.0], [0.0, 0.7996850909091004, 0.0], [0.0, 0.0, -0.05158703422139897]]"
1Cl2Cu2S3P4-1,"[[0.3961993470957364, 0.0, 0.0], [0.0, 0.26623169668989327, 0.0], [0.0, 0.0, -0.4294570601181025]]"
1Cl2Cu2Se3P4-1,"[[0.4490153163477863, 0.0, 0.0], [0.0, 0.307282047033346, 0.0], [0.0, 0.0, -0.42596873227228116]]"
1Cl2Cu2Sr3O4-1,"[[0.49734438101758, 0.0, 0.0], [0.0, 0.49734438101758, 0.0], [0.0, 0.0, -0.1372724716820254]]"
1Cu2I2Ca3O4-1,"[[0.6499187187354192, 0.0, 0.0], [0.0, 0.6499187187354192, 0.0], [0.0, 0.0, -0.06803388527182737]]"
1Cu2I2S3As4-1,"[[0.505149978319906, 0.0, 0.0], [0.0, 0.44731310882356823, 0.0], [0.0, 0.0, -0.3535962737769304]]"
1Cu2I2S3P4-1,"[[0.4437322414015968, 0.0, 0.0], [0.0, 0.4084095784684297, 0.0], [0.0, 0.0, -0.3655227298392684]]"
1Cu2I2Se3As4-1,"[[0.5289167002776547, 0.0, 0.0], [0.0, 0.47041049097593074, 0.0], [0.0, 0.0, -0.348721986001856]]"
1Cu2I2Se3P4-1,"[[0.48330195235816714, 0.0, 0.0], [0.0, 0.43743344379797117, 0.0], [0.0, 0.0, -0.36351210364663455]]"
1Cu2I2Sr3O4-1,"[[0.6663307443019685, 0.0, 0.0], [0.0, 0.6663307443019685, 0.0], [0.0, 0.0, -0.05305672930217456]]"
1Cu2I2Sr3S4-1,"[[0.6329631681672611, 0.0, 0.0], [0.0, 0.6329631681672611, 0.0], [0.0, 0.0, -0.06701917807680184]]"
1Cu2I2Te3As4-1,"[[0.5605044151950566, 0.0, 0.0], [0.0, 0.49651451869774504, 0.0], [0.0, 0.0, -0.3545777306509081]]"
1H2O2C3Ti4-1,"[[2.2955143217299865, 0.0, 0.0], [0.0, 2.2955143217299865, 0.0], [0.0, 0.0, 0.2535802895621828]]"
1H2O2N3Ti4-1,"[[2.554072231063717, 0.0, 0.0], [0.0, 2.554072231063717, 0.0], [0.0, 0.0, 0.44012160318780386]]"
1Br2Mn2Ba3O5-1,"[[0.7846172926328754, 0.0, 0.0], [0.0, 0.7846172926328754, 0.0], [0.0, 0.0, -0.05898575629443027]]"
1Br2Mn2Ba3S5-1,"[[0.9825877907016625, 0.0, 0.0], [0.0, 0.9825877907016625, 0.0], [0.0, 0.0, -0.03151705144606486]]"
1Br2Mn2Sr3O5-1,"[[0.8918161195248605, 0.0, 0.0], [0.0, 0.8918161195248605, 0.0], [0.0, 0.0, -0.08249449044745336]]"
1Br2Ni2Ba3O5-1,"[[1.5221311156254864, 0.0, 0.0], [0.0, 1.5221311156254864, 0.0], [0.0, 0.0, -0.041436116778032536]]"
1Br2Ni2Sr3O5-1,"[[1.341276210721688, 0.0, 0.0], [0.0, 1.341276210721688, 0.0], [0.0, 0.0, -0.06248210798265336]]"
1Cl2Mn2Ba3O5-1,"[[0.855942946232316, 0.0, 0.0], [0.0, 0.855942946232316, 0.0], [0.0, 0.0, -0.08724669632867703]]"
1Cl2Mn2Sr3O5-1,"[[0.6869935662646786, 0.0, 0.0], [0.0, 0.6869935662646786, 0.0], [0.0, 0.0, -0.10237290870955855]]"
1Cl2Ni2Ba3O5-1,"[[1.4403579968152878, 0.0, 0.0], [0.0, 1.4403579968152878, 0.0], [0.0, 0.0, -0.07314329105030767]]"
1Cl2Ni2Sr3O5-1,"[[1.3252487652875373, 0.0, 0.0], [0.0, 1.3252487652875373, 0.0], [0.0, 0.0, -0.07058107428570728]]"
1Fe2I2Sr3O5-1,"[[0.90768002424242, 0.0, 0.0], [0.0, 0.90768002424242, 0.0], [0.0, 0.0, 0.006037954997317177]]"
1I2Mn2Ba3S5-1,"[[0.9726655922661109, 0.0, 0.0], [0.0, 0.9726655922661109, 0.0], [0.0, 0.0, -0.002176919254274547]]"
1I2Mn2Sr3O5-1,"[[0.9684829485539351, 0.0, 0.0], [0.0, 0.9684829485539351, 0.0], [0.0, 0.0, -0.03715731879875755]]"
1Al2Co2Se5-1,"[[1.5857764652417117, 0.0, 0.0], [0.0, 1.5850544459866267, 0.0], [0.0, 0.0, 0.07298474462793039]]"
1Al2Mg2S5-1,"[[0.6569601827428492, 0.0, 0.0], [0.0, 0.6565772913961141, 0.0], [0.0, 0.0, -0.02826040911222171]]"
1Al2Mg2Se5-1,"[[0.7821858664920164, 0.0, 0.0], [0.0, 0.782114147479071, 0.0], [0.0, 0.0, 0.01619735351243906]]"
1Al2Mg2Te5-1,"[[0.9392196358548183, 0.0, 0.0], [0.0, 0.9393195310782381, 0.0], [0.0, 0.0, 0.07114529045108281]]"
1Al2Mn2S5-1,"[[1.2562606065122068, 0.0, 0.0], [0.0, 1.2562846784841613, 0.0], [0.0, 0.0, 0.0021660617565076304]]"
1Al2Mn2Se5-1,"[[0.9848422314052759, 0.0, 0.0], [0.0, 0.9846623061901066, 0.0], [0.0, 0.0, 0.031004281363536827]]"
1Al2Mn2Se5-3,"[[2.0707211116763053, 0.0, 0.0], [0.0, 2.0830724122845354, 0.0], [0.0, 0.0, 0.05804623039528174]]"
1Al2Mn2Te5-2,"[[1.9074274852703672, 0.0, 0.0], [0.0, 1.9079431532913074, 0.0], [0.0, 0.0, 0.10140335055533072]]"
1Al2Ni2S5-1,"[[1.7437370435139938, 0.0, 0.0], [0.0, 1.7230778603698593, 0.0], [0.0, 0.0, 0.5878231713189551]]"
1Al2Ni2S5-2,"[[2.142110902672958, 0.0, 0.0], [0.0, 2.1398790864012365, 0.0], [0.0, 0.0, 0.030599721965951066]]"
1Al2Ni2Se5-1,"[[1.7252171858137924, 0.0, 0.0], [0.0, 1.7237593257004455, 0.0], [0.0, 0.0, 0.5309676815719151]]"
1Al2Ni2Se5-2,"[[2.369657351247014, 0.0, 0.0], [0.0, 2.373924788332857, 0.0], [0.0, 0.0, 0.07445071895459124]]"
1Al2Ni2Se5-3,"[[2.1658465180014304, 0.0, 0.0], [0.0, 2.165799084903254, 0.0], [0.0, 0.0, 0.10380372095595687]]"
1Co2Ga2S5-1,"[[1.6636067081245203, 0.0, 0.0], [0.0, 1.6654308849136668, 0.0], [0.0, 0.0, 0.06258198422816312]]"
1Co2Ga2S5-2,"[[1.5290066336095343, 0.0, 0.0], [0.0, 1.5276299008713388, 0.0], [0.0, 0.0, 0.05461305455688774]]"
1Co2Ga2Se5-1,"[[1.5674733769602551, 0.0, 0.0], [0.0, 1.5669086552268034, 0.0], [0.0, 0.0, 0.09412159584056139]]"
1Co2Ga2Se5-2,"[[1.7984849052771577, 0.0, 0.0], [0.0, 1.8045006260125118, 0.0], [0.0, 0.0, 0.08600370561838196]]"
1Co2Ga2Te5-1,"[[1.9679783135043056, 0.0, 0.0], [0.0, 1.9668079222424713, 0.0], [0.0, 0.0, 0.12155984418750096]]"
1Cr2H2O5-1,"[[0.4487063199050799, 0.0, 0.0], [0.0, 0.8621910310515971, 0.0], [0.0, 0.0, -0.10127481841050648]]"
1Ga2Mg2S5-1,"[[0.72900270927219, 0.0, 0.0], [0.0, 0.7287594751678744, 0.0], [0.0, 0.0, -0.009217308196862183]]"
1Ga2Mg2Se5-1,"[[0.8779469516291882, 0.0, 0.0], [0.0, 0.8778894253714841, 0.0], [0.0, 0.0, 0.03261876085071993]]"
1Ga2Mg2Te5-1,"[[1.0806625563941825, 0.0, 0.0], [0.0, 1.0778401027349935, 0.0], [0.0, 0.0, 0.0835026198302674]]"
1Ga2Mn2S5-1,"[[1.2142608667775419, 0.0, 0.0], [0.0, 1.2090590341287974, 0.0], [0.0, 0.0, 0.0318122713303704]]"
1Ga2Mn2S5-2,"[[2.4573049764369386, 0.0, 0.0], [0.0, 2.456797076607405, 0.0], [0.0, 0.0, 0.07003786660775509]]"
1Ga2Mn2Se5-1,"[[1.9394443678038966, 0.0, 0.0], [0.0, 1.9381092530621626, 0.0], [0.0, 0.0, 0.05918461763137114]]"
1Ga2Mn2Se5-2,"[[1.7040475098862617, 0.0, 0.0], [0.0, 1.7042449184230213, 0.0], [0.0, 0.0, 0.064083435963596]]"
1Ga2Mn2Se5-3,"[[2.5075428510916273, 0.0, 0.0], [0.0, 2.50589036181945, 0.0], [0.0, 0.0, 0.08635983067474821]]"
1Ga2Mn2Te5-2,"[[1.9362522828528361, 0.0, 0.0], [0.0, 1.9625776712663905, 0.0], [0.0, 0.0, 0.10687054447865389]]"
1Ga2Mn2Te5-3,"[[1.4990406574472177, 0.0, 0.0], [0.0, 1.5002090217151078, 0.0], [0.0, 0.0, 0.11260500153457455]]"
1Ga2Ni2O5-1,"[[1.890622189721783, 0.0, 0.0], [0.0, 1.889665796827751, 0.0], [0.0, 0.0, -0.017276612331454656]]"
1Ga2Ni2O5-2,"[[1.7234556720351857, 0.0, 0.0], [0.0, 1.6977696943752099, 0.0], [0.0, 0.0, 0.05422990986339725]]"
1Ga2Ni2S5-1,"[[2.0367127124951425, 0.0, 0.0], [0.0, 2.0361616178344035, 0.0], [0.0, 0.0, 0.09691001300805642]]"
1Ga2Ni2S5-2,"[[1.6963039556509614, 0.0, 0.0], [0.0, 1.700322893707892, 0.0], [0.0, 0.0, 1.486019369490602]]"
1Ga2Ni2Se5-1,"[[1.6402329136549685, 0.0, 0.0], [0.0, 1.706325118706268, 0.0], [0.0, 0.0, 0.15896526038341022]]"
1Ga2Ni2Se5-2,"[[2.48193254583794, 0.0, 0.0], [0.0, 2.481850931318503, 0.0], [0.0, 0.0, 0.13065534902203058]]"
1Ga2Ni2Se5-3,"[[3.2486256899686285, 0.0, 0.0], [0.0, 3.2495326965828, 0.0], [0.0, 0.0, 0.19284611518884168]]"
1Ga2Ni2Te5-1,"[[1.886067504919496, 0.0, 0.0], [0.0, 1.889010207115511, 0.0], [0.0, 0.0, 0.10957854690438666]]"
1Ga2Ni2Te5-2,"[[2.1590616257206676, 0.0, 0.0], [0.0, 2.1593054549601844, 0.0], [0.0, 0.0, 0.11594317693905513]]"
1Ga2Ni2Te5-3,"[[2.3393182504945056, 0.0, 0.0], [0.0, 2.3392506455002997, 0.0], [0.0, 0.0, 0.13956426617584977]]"
1H2V2O5-1,"[[1.0904696802311604, 0.0, 0.0], [0.0, 1.2815333138573763, 0.0], [0.0, 0.0, -0.5100415205751654]]"
1In2Mg2S5-1,"[[0.7419390777291989, 0.0, 0.0], [0.0, 0.7417029839577399, 0.0], [0.0, 0.0, 0.00860017176191757]]"
1In2Mg2Se5-1,"[[0.8699940001217419, 0.0, 0.0], [0.0, 0.86993541064686, 0.0], [0.0, 0.0, 0.04688519083771014]]"
1In2Mg2Te5-1,"[[1.01110502981598, 0.0, 0.0], [0.0, 1.011232010319366, 0.0], [0.0, 0.0, 0.09342168516223506]]"
1In2Mn2S5-1,"[[1.426722664145779, 0.0, 0.0], [0.0, 1.4262183798325783, 0.0], [0.0, 0.0, 0.04688519083771014]]"
1In2Mn2S5-2,"[[1.7529238405683416, 0.0, 0.0], [0.0, 1.7869926298617884, 0.0], [0.0, 0.0, 0.03862016194970278]]"
1In2Mn2Se5-1,"[[1.644684718395879, 0.0, 0.0], [0.0, 1.6440444928147488, 0.0], [0.0, 0.0, 0.07371835034612269]]"
1In2Mn2Se5-2,"[[1.4395537329431392, 0.0, 0.0], [0.0, 1.428102382783436, 0.0], [0.0, 0.0, 0.08134730780413249]]"
1In2Mn2Se5-3,"[[1.9836984380541192, 0.0, 0.0], [0.0, 1.9603518416217651, 0.0], [0.0, 0.0, 0.09621458534640519]]"
1In2Ni2Se5-1,"[[1.7826947312054502, 0.0, 0.0], [0.0, 1.7808427569545882, 0.0], [0.0, 0.0, 0.20057692675484817]]"
1In2Ni2Se5-2,"[[2.1574114323147886, 0.0, 0.0], [0.0, 2.1565400655781244, 0.0], [0.0, 0.0, 0.11693964655075578]]"
1In2Ni2Te5-1,"[[1.8624474402051132, 0.0, 0.0], [0.0, 1.8630550617948776, 0.0], [0.0, 0.0, 0.1604685311190375]]"
1In2Ni2Te5-2,"[[2.0897850459630414, 0.0, 0.0], [0.0, 2.0895483491496862, 0.0], [0.0, 0.0, 0.12319807503199871]]"
1In2Zn2S5-1,"[[1.3830609769309932, 0.0, 0.0], [0.0, 1.3739413115180612, 0.0], [0.0, 0.0, 0.04649516433470831]]"
1Ni2P2Se5-1,"[[1.5774458403174296, 0.0, 0.0], [0.0, 1.416607226792504, 0.0], [0.0, 0.0, -0.38721614328026455]]"
1Ag2Te3-1,"[[0.6756867086994012, 0.0, 0.0], [0.0, 0.702775077901044, 0.0], [0.0, 0.0, -0.43062609038495414]]"
1As2Te3-1,"[[1.5810047599836716, 0.0, 0.0], [0.0, 1.578891233889098, 0.0], [0.0, 0.0, -0.1284270644541213]]"
1Bi2S3-1,"[[0.9859650783048709, 0.0, 0.0], [0.0, 0.9867717342662449, 0.0], [0.0, 0.0, -0.18641901143180803]]"
1Bi2Se3-1,"[[1.10595276923698, 0.0, 0.0], [0.0, 1.10595276923698, 0.0], [0.0, 0.0, -0.15552282425431863]]"
1Bi2Te3-1,"[[1.280896918228884, 0.0, 0.0], [0.0, 1.2811015756841535, 0.0], [0.0, 0.0, -0.10072681268239618]]"
1Co2S3-1,"[[1.0635209996899908, 0.0, 0.0], [0.0, 1.3414938773990288, 0.0], [0.0, 0.0, -0.3925449767853314]]"
1Co2Se3-1,"[[1.3118385931761876, 0.0, 0.0], [0.0, 1.3121138584526923, 0.0], [0.0, 0.0, -0.1372724716820254]]"
1Co2Se3-2,"[[1.1011281758387568, 0.0, 0.0], [0.0, 1.3350565194390915, 0.0], [0.0, 0.0, -0.37365963262495766]]"
1Co2Te3-1,"[[1.6388086205001646, 0.0, 0.0], [0.0, 1.6385192072654593, 0.0], [0.0, 0.0, -0.1402614338028531]]"
1Cr2Se3-1,"[[1.0384611961785637, 0.0, 0.0], [0.0, 1.0385804259615783, 0.0], [0.0, 0.0, -0.21609642072726507]]"
1Ga2S3-1,"[[0.5757649805367194, 0.0, 0.0], [0.0, 0.5621738633646483, 0.0], [0.0, 0.0, -0.22767829327708025]]"
1Ga2Se3-1,"[[0.6944296909570831, 0.0, 0.0], [0.0, 0.7025166974381506, 0.0], [0.0, 0.0, -0.18842499412940666]]"
1Ge2S3-1,"[[1.369030221809153, 0.0, 0.0], [0.0, 1.3421857282936929, 0.0], [0.0, 0.0, -0.2182446253475311]]"
1In2Se3-1,"[[0.746400644491561, 0.0, 0.0], [0.0, 0.7444494574467985, 0.0], [0.0, 0.0, -0.1804560644581313]]"
1In2Se3-3,"[[0.44824241263443915, 0.0, 0.0], [0.0, 0.42829681398287955, 0.0], [0.0, 0.0, -0.44855000202712486]]"
1Mn2Te3-1,"[[1.5092563015995641, 0.0, 0.0], [0.0, 1.5092966316810252, 0.0], [0.0, 0.0, -0.1106982974936897]]"
1Ni2Se3-1,"[[1.5613757138308917, 0.0, 0.0], [0.0, 1.5613995604420277, 0.0], [0.0, 0.0, -0.16304326294044955]]"
1Ni2Te3-1,"[[1.4458531896538749, 0.0, 0.0], [0.0, 1.4458220741616958, 0.0], [0.0, 0.0, -0.15552282425431863]]"
1P2Hg3-1,"[[1.3629911156235688, 0.0, 0.0], [0.0, 0.9805033181933951, 0.0], [0.0, 0.0, -0.243363891754152]]"
1S2Hf3-1,"[[1.3672067814359876, 0.0, 0.0], [0.0, 1.3672067814359876, 0.0], [0.0, 0.0, -0.27083521030722996]]"
1S2Zr3-1,"[[1.318397279217511, 0.0, 0.0], [0.0, 1.318397279217511, 0.0], [0.0, 0.0, -0.2549252084179425]]"
1Sb2O3-1,"[[0.06182930729469903, 0.0, 0.0], [0.0, 0.15350998930083753, 0.0], [0.0, 0.0, -0.5391021572434522]]"
1Sb2Se3-1,"[[1.2358061046021034, 0.0, 0.0], [0.0, 1.2364364854163301, 0.0], [0.0, 0.0, -0.1549019599857432]]"
1Sb2Te3-1,"[[1.4219656882251124, 0.0, 0.0], [0.0, 1.421390017067081, 0.0], [0.0, 0.0, -0.10679324694015198]]"
1Se2Cu3-1,"[[1.0806264869218056, 0.0, 0.0], [0.0, 1.0806625563941825, 0.0], [0.0, 0.0, -0.28819277095880896]]"
1Se2Hf3-1,"[[1.564227998818755, 0.0, 0.0], [0.0, 1.564227998818755, 0.0], [0.0, 0.0, -0.24565166428898116]]"
1Se2Zr3-1,"[[1.5307246337413523, 0.0, 0.0], [0.0, 1.5307246337413523, 0.0], [0.0, 0.0, -0.2358238676096693]]"
1Te2Hf3-1,"[[1.809573180922052, 0.0, 0.0], [0.0, 1.809573180922052, 0.0], [0.0, 0.0, -0.1972262747080243]]"
1Te2Zr3-1,"[[2.0942264852220407, 0.0, 0.0], [0.0, 2.0942264852220407, 0.0], [0.0, 0.0, -0.19586056766464957]]"
1Ti2Se3-1,"[[1.5701107653554138, 0.0, 0.0], [0.0, 1.5699705082348676, 0.0], [0.0, 0.0, -0.1938200260161128]]"
1Ti2Te3-1,"[[1.6555033962497936, 0.0, 0.0], [0.0, 1.6551768662508926, 0.0], [0.0, 0.0, -0.13786862068696282]]"
1Tl2S3-1,"[[0.5608626947274648, 0.0, 0.0], [0.0, 0.5538830266438743, 0.0], [0.0, 0.0, -0.29413628771608075]]"
1Tl2Se3-2,"[[0.8375884382355113, 0.0, 0.0], [0.0, 0.8059084550741971, 0.0], [0.0, 0.0, -0.1549019599857432]]"
1Y2Te3-1,"[[0.8098289610678862, 0.0, 0.0], [0.0, 0.8105013477665298, 0.0], [0.0, 0.0, -0.16304326294044955]]"
2Al2S3-1,"[[0.5169318088680128, 0.0, 0.0], [0.0, 0.5439439424829065, 0.0], [0.0, 0.0, -0.24260397120697583]]"
2Al2S3-2,"[[0.20601587676334454, 0.0, 0.0], [0.0, 0.26054837263697944, 0.0], [0.0, 0.0, -0.48945498979338786]]"
2Al2Se3-1,"[[0.6567687792660166, 0.0, 0.0], [0.0, 0.6867256210745422, 0.0], [0.0, 0.0, -0.1979107421182673]]"
2Al2Se3-2,"[[0.2798949800116381, 0.0, 0.0], [0.0, 0.3186892699477459, 0.0], [0.0, 0.0, -0.38721614328026455]]"
2Al2Se3-3,"[[0.6747693140154263, 0.0, 0.0], [0.0, 0.7013952690139201, 0.0], [0.0, 0.0, -0.21681130892474243]]"
2Al2Te3-1,"[[0.8744238305865019, 0.0, 0.0], [0.0, 0.9008039348103695, 0.0], [0.0, 0.0, -0.1402614338028531]]"
2As2O3-1,"[[-0.040958607678906384, 0.0, 0.0], [0.0, -0.05650548409389743, 0.0], [0.0, 0.0, -0.638272163982407]]"
2As2O3-2,"[[-0.027797161620935564, 0.0, 0.0], [0.0, -0.027797161620935564, 0.0], [0.0, 0.0, -0.6289321377282637]]"
2As2O3-3,"[[0.17376882313664999, 0.0, 0.0], [0.0, 0.06818586174616162, 0.0], [0.0, 0.0, -0.431798275933005]]"
2As2O3-4,"[[-0.13430394008392949, 0.0, 0.0], [0.0, -0.13430394008392949, 0.0], [0.0, 0.0, -0.6882461389442457]]"
2As2S3-1,"[[0.29314148345093083, 0.0, 0.0], [0.0, 0.38560627359831223, 0.0], [0.0, 0.0, -0.5331323796458906]]"
2As2S3-3,"[[0.48798633112939344, 0.0, 0.0], [0.0, 0.3637999454791093, 0.0], [0.0, 0.0, -0.4907974776688971]]"
2As2Te3-1,"[[0.7567121601647716, 0.0, 0.0], [0.0, 0.7865384804978024, 0.0], [0.0, 0.0, -0.42596873227228116]]"
2B2O3-1,"[[-0.3535962737769304, 0.0, 0.0], [0.0, -0.31785492362616824, 0.0], [0.0, 0.0, -0.8297382846050426]]"
2Bi2O3-1,"[[0.31470969295517376, 0.0, 0.0], [0.0, 0.31344537042641407, 0.0], [0.0, 0.0, -0.4881166390211256]]"
2Bi2S3-1,"[[0.9395192526186185, 0.0, 0.0], [0.0, 0.9398685444595097, 0.0], [0.0, 0.0, -0.1830961606243397]]"
2Bi2S3-2,"[[0.681964458994683, 0.0, 0.0], [0.0, 0.6820547770738072, 0.0], [0.0, 0.0, -0.341035157335565]]"
2Co2S3-1,"[[1.2546205743100274, 0.0, 0.0], [0.0, 1.257486579073881, 0.0], [0.0, 0.0, -0.17914201056030005]]"
2Cr2S3-1,"[[0.9516774373433006, 0.0, 0.0], [0.0, 0.9500239065233265, 0.0], [0.0, 0.0, -0.25258819211357664]]"
2Cr2S3-2,"[[0.9978230807457255, 0.0, 0.0], [0.0, 0.9973426906016224, 0.0], [0.0, 0.0, -0.24718356881172862]]"
2Ga2O3-1,"[[0.2648178230095365, 0.0, 0.0], [0.0, 0.2736955879300921, 0.0], [0.0, 0.0, -0.3788237182249648]]"
2Ga2S3-1,"[[0.6652994994998971, 0.0, 0.0], [0.0, 0.6938148538894168, 0.0], [0.0, 0.0, -0.22112552799726048]]"
2Ga2Se3-1,"[[0.8412968874902819, 0.0, 0.0], [0.0, 0.8562454007900543, 0.0], [0.0, 0.0, -0.17914201056030005]]"
2Ga2Se3-2,"[[0.5077209766856136, 0.0, 0.0], [0.0, 0.5070458724273257, 0.0], [0.0, 0.0, -0.3757179041643317]]"
