uid,total
1AgInP2Se6-1,"[[5.006699726274348, -0.0057657, -0.000837146], [-0.0057657, 4.987131022179408, -0.001546142], [-0.000837146, -0.001546142, 0.0173424769377952]]"
1AgMnBr4-1,"[[7.305726058535359, -6.339175055, -0.149931646], [-6.339175055, 12.53320704422789, -0.033436749], [-0.149931646, -0.033436749, 0.0481003358596983]]"
1AgMoBr4-1,"[[2.189609584560784, 0.0221887525641485, 0.1011637579180343], [0.0221887525641485, 1.5278003456665843, 0.0074837109395682], [0.1011637579180343, 0.0074837109395682, 0.0332077998252255]]"
1AgSbAs2Se6-1,"[[15.54680873115573, 0.0429177745204906, 0.002882141994635], [0.0429177745204906, 15.395362516296784, 0.0008054192637361], [0.002882141994635, 0.0008054192637361, 0.0185711179271391]]"
1AgSbP2Se6-1,"[[14.210562418616677, -0.107351178, 0.0067956718905338], [-0.107351178, 14.070228932685804, 0.0016201589875927], [0.0067956718905338, 0.0016201589875927, 0.0295774475516527]]"
1AgScP2S6-1,"[[3.932947171658317, -0.015398166, -0.007829723], [-0.015398166, 3.697308087318744, -0.000192013], [-0.007829723, -0.000192013, 0.0460188272286816]]"
1AgSeWBr5-1,"[[1.3299081835860869, -0.034611156, -0.037131139], [-0.034611156, 1.2300467288353698, 0.0276386960264762], [-0.037131139, 0.0276386960264762, 0.0514326569037396]]"
1AgTlP2S6-1,"[[7.637877835032945, 0.0235802438978369, 0.002658292325586], [0.0235802438978369, 7.54643573930155, 0.0015907486418205], [0.002658292325586, 0.0015907486418205, 0.0210267592082406]]"
1AgVP2Se6-1,"[[2.016152807385016, 0.3154528343477783, 0.0168267784331233], [0.3154528343477783, 2.348975129977096, 0.0305623940322269], [0.0168267784331233, 0.0305623940322269, 0.0164329926205354]]"
1Al2Mg2S5-1,"[[6.734763725837329, -0.001570421, 0.0007917949378633], [-0.001570421, 6.731525065004056, -0.000460633], [0.0007917949378633, -0.000460633, 0.1516408431074923]]"
1Al2Mg2Se5-1,"[[7.524606734991439, 0.0035789536401478, -0.000303461], [0.0035789536401478, 7.51252088293101, 0.0015729449712883], [-0.000303461, 0.0015729449712883, 0.1256743766135195]]"
1Al2Mg2Te5-1,"[[10.306390971790233, 0.021847022189352, -0.00079609], [0.021847022189352, 10.29134493700343, 0.0011466980100552], [-0.00079609, 0.0011466980100552, 0.0959543608693983]]"
1Al2S5-1,"[[1.4020940613126602, -0.000504816, 0.0308024270311122], [-0.000504816, 2.0747479817036387, 1.880544432955136e-05], [0.0308024270311122, 1.880544432955136e-05, 0.02310931235223]]"
1Al2Te5-1,"[[1.6240616448839078, -0.014895002, 0.0206219772424623], [-0.014895002, 15.925723556839046, -0.000379224], [0.0206219772424623, -0.000379224, 0.0116230612903572]]"
1AlCdGaS4-1,"[[4.774256431016416, 0.0014828093139483, -0.000641673], [0.0014828093139483, 4.764263559555716, 0.0006520254827322], [-0.000641673, 0.0006520254827322, 0.0775288927764448]]"
1AlCdInS4-1,"[[5.397836483107361, -0.002763351, 0.0020789991658463], [-0.002763351, 5.406593411326106, 0.0008253502899712], [0.0020789991658463, 0.0008253502899712, 0.0802346302372465]]"
1AlCdInSe4-1,"[[5.321043554759536, 0.0121388275138476, -0.000587299], [0.0121388275138476, 5.329840968800981, 8.672886649643847e-05], [-0.000587299, 8.672886649643847e-05, 0.0590256474125323]]"
1AlGaSe2-1,"[[1.9248315724007368, 0.0012793439300702, -4.36e-05], [0.0012793439300702, 1.9203570500152405, -0.000290788], [-4.36e-05, -0.000290788, 0.0190151904940678]]"
1AlISe-1,"[[8.429582828701786, 0.361918712166373, 0.013709430530365], [0.361918712166373, 10.135549366706307, -0.041081699], [0.013709430530365, -0.041081699, 0.0277439906592472]]"
1AlLiP2S6-1,"[[2.291532950963215, 0.1469769587157615, 0.0178623409022092], [0.1469769587157615, 2.426048508566822, 0.0271662948163479], [0.0178623409022092, 0.0271662948163479, 0.0125786533461251]]"
1AlLiP2Se6-1,"[[2.470467821371345, 0.1758419741261072, 0.0179999459939567], [0.1758419741261072, 2.600954701120996, 0.0283301100051474], [0.0179999459939567, 0.0283301100051474, 0.0098694802444014]]"
1AlN-1,"[[0.5046002669377927, 0.0003638757300564, 6.544755643009477e-06], [0.0003638757300564, 0.5050934268986786, 0.0003986380365074], [6.544755643009477e-06, 0.0003986380365074, 0.0571401893710889]]"
1AlNaAs2S6-1,"[[2.3657203497022934, 0.4715268951673927, 0.0114682620343831], [0.4715268951673927, 2.792833706091367, 0.0173245336385633], [0.0114682620343831, 0.0173245336385633, 0.017566068123542]]"
1AlNaAs2Se6-1,"[[2.588204982167699, 0.3934234269783338, 0.0123905199357001], [0.3934234269783338, 2.913340438940891, 0.0186523516025856], [0.0123905199357001, 0.0186523516025856, 0.0124671640701339]]"
1AlNaP2Se6-1,"[[2.091076036574058, 0.0686738218136692, 0.0174439180440547], [0.0686738218136692, 2.141554517715295, 0.0280584763833465], [0.0174439180440547, 0.0280584763833465, 0.0135188046507161]]"
1As2Te3-1,"[[251.09955470175296, 1.4602715342187549, 0.007942630602294], [1.4602715342187549, 247.2977025426921, 0.0020892037351105], [0.007942630602294, 0.0020892037351105, 0.0258722294537933]]"
1AsBrS-1,"[[29.27035956757736, -0.00625354, 7.758064734769929e-05], [-0.00625354, 29.25623568547561, 2.365209106901316e-05], [7.758064734769929e-05, 2.365209106901316e-05, 0.0160228012649881]]"
1AsBrSe-1,"[[21.79060233491236, -0.006478882, 8.598145749426738e-05], [-0.006478882, 21.748395597521714, -0.000156006], [8.598145749426738e-05, -0.000156006, 0.0158901596253093]]"
1AsBrSe-2,"[[21.958210328340183, 0.002894423804675, 0.0002505418041452], [0.002894423804675, 22.022059569032585, -0.000167728], [0.0002505418041452, -0.000167728, 0.0213788821272011]]"
1AsBrTe-1,"[[19.46102443107572, 0.0085401305449733, 0.0004244410551174], [0.0085401305449733, 19.482851523349662, -0.000116358], [0.0004244410551174, -0.000116358, 0.0177039486764181]]"
1AsBrTe-2,"[[166.12262008664612, 0.439923315673538, -2.21e-06], [0.439923315673538, 167.99141037766606, 0.0021760600979271], [-2.21e-06, 0.0021760600979271, 0.0221415184946407]]"
1AsClS-1,"[[29.46639081203683, 0.0091797634205648, 0.0002135957847439], [0.0091797634205648, 29.482332378334576, 1.3028326084383568e-05], [0.0002135957847439, 1.3028326084383568e-05, 0.0207830658619943]]"
1AsClSe-1,"[[24.942487635140346, 0.0012022423690747, 0.0002027701145565], [0.0012022423690747, 24.969571499606328, -0.00033851], [0.0002027701145565, -0.00033851, 0.0213280782635568]]"
1AsClTe-1,"[[25.07447833318533, -0.008099505, -0.000181856], [-0.008099505, 25.07730235580044, -9.77e-05], [-0.000181856, -9.77e-05, 0.0239116589795129]]"
1AsGa-1,"[[0.8728665573097922, -0.000307953, 0.000235896034184], [-0.000307953, 0.8712440402271765, 0.0002306515373025], [0.000235896034184, 0.0002306515373025, 0.0054378472953427]]"
1AsIS-1,"[[25.18861008967793, -2.347270387, 0.0695880647653785], [-2.347270387, 24.40120476847405, -0.018373296], [0.0695880647653785, -0.018373296, 0.012074226052394]]"
1AsISe-1,"[[24.029923707852, 0.0138747950185933, 0.0001131184375307], [0.0138747950185933, 24.03596506168598, -9.98e-05], [0.0001131184375307, -9.98e-05, 0.0112693900824572]]"
1AsISe-2,"[[14.281807047209712, 0.0020952582792832, -0.000181581], [0.0020952582792832, 14.267823824981182, 5.813988019629356e-05], [-0.000181581, 5.813988019629356e-05, 0.0185685307603614]]"
1AsITe-1,"[[17.965096643008636, -0.007726981, 0.0004269611494649], [-0.007726981, 17.94351325587974, -0.000163824], [0.0004269611494649, -0.000163824, 0.0124700829665488]]"
1AsITe-2,"[[19.95550375632908, -0.016699368, -0.000283469], [-0.016699368, 19.797134907502727, -0.000196761], [-0.000283469, -0.000196761, 0.0188830060804929]]"
1AsIn-1,"[[1.0669216935048529, -2.04e-05, 1.135181663373612e-05], [-2.04e-05, 1.0674271270089963, -1.32e-05], [1.135181663373612e-05, -1.32e-05, 0.0085660303208519]]"
1AsSb-1,"[[0.1826253757582608, 2.728118327633152e-05, 3.296009359423853e-06], [2.728118327633152e-05, 0.1829887457640554, 2.359855670168716e-06], [3.296009359423853e-06, 2.359855670168716e-06, 0.0001318520538483]]"
1AuBiP2Se6-1,"[[5.062715956484465, 0.0064447473497735, 0.000480300620358], [0.0064447473497735, 5.074415351232902, -0.00041118], [0.000480300620358, -0.00041118, 0.0168056868008609]]"
1AuBrTlI3-1,"[[3.7996205736578186, 1.1404789913667672, 0.0184710630121089], [1.1404789913667672, 6.620967474245541, -0.000887037], [0.0184710630121089, -0.000887037, 0.0456075195813679]]"
1AuClCuI-1,"[[0.8032253713646731, 0.3921750233210971, 0.0007207641225612], [0.3921750233210971, 1.0757814869584823, -0.001123331], [0.0007207641225612, -0.001123331, 0.0151008601967228]]"
1AuClPdSe-1,"[[0.1965781629842935, -0.023595343, 0.01116662227566], [-0.023595343, 0.4709499250562708, 0.0011216500246174], [0.01116662227566, 0.0011216500246174, 0.0110891993274806]]"
1AuCrAs2Se6-1,"[[2.54687552951568, 2.426335087615272, -0.065856945], [2.426335087615272, 5.335087959843193, -0.113637237], [-0.065856945, -0.113637237, 0.0156767635551099]]"
1AuCuBr2-1,"[[1.3698543084112869, 0.9539112593900746, -0.013323221], [0.9539112593900746, 1.6520740715107312, 0.0114654773106886], [-0.013323221, 0.0114654773106886, 0.011527351795748]]"
1AuInCl2S2-1,"[[2.435129487402759, 0.0079365228804654, -0.042498023], [0.0079365228804654, 2.195234305371033, -0.000545968], [-0.042498023, -0.000545968, 0.0341900744886409]]"
1AuInF4-1,"[[0.8243022873744377, -0.056821395, 0.0307404199125999], [-0.056821395, 0.9922781607652438, 0.0093245976818703], [0.0307404199125999, 0.0093245976818703, 0.0567894162314693]]"
1AuInSI2-1,"[[5.115813327784398, 0.8912107048215585, -0.389039704], [0.8912107048215585, 2.46259405666026, -0.157443611], [-0.389039704, -0.157443611, 0.0833029817707849]]"
1AuSbP2S6-1,"[[7.77302848714119, -0.004617686, 0.000742750536562], [-0.004617686, 7.784221748760467, -0.000787264], [0.000742750536562, -0.000787264, 0.0216471175153792]]"
1AuSbP2Se6-1,"[[7.18519428877701, 0.0035262089003526, -0.000964132], [0.0035262089003526, 7.176853334701732, 0.0022982370300368], [-0.000964132, 0.0022982370300368, 0.0206074753869509]]"
1AuSnF6-1,"[[1.7020663644451988, 0.015265331179808, -0.05053725], [0.015265331179808, 1.2696804785107605, 0.1119324672968703], [-0.05053725, 0.1119324672968703, 0.0580417350512906]]"
1AuTlI6-1,"[[10.490734362766052, -0.252930903, 0.3830636286250182], [-0.252930903, 2.870614102679196, -0.011444021], [0.3830636286250182, -0.011444021, 0.0358681045606491]]"
1BN-1,"[[0.4767953117047429, 0.0004959237798306, 3.054107590607141e-07], [0.0004959237798306, 0.4786930044267947, 6.0349122716029166e-05], [3.054107590607141e-07, 6.0349122716029166e-05, 0.0144996006493104]]"
1BP-1,"[[0.1458377484888818, 2.1219958526706424e-05, -4.71e-07], [2.1219958526706424e-05, 0.1469719287016361, 6.826920106604647e-06], [-4.71e-07, 6.826920106604647e-06, 0.0003603156291783]]"
1BaBr2-1,"[[1.927807736816349, 9.188707519355797e-06, -4.32e-05], [9.188707519355797e-06, 1.9303311233681395, -1.85e-05], [-4.32e-05, -1.85e-05, 0.1205288092347699]]"
1BaBr2-2,"[[1.6834006069061689, 0.0004908342677024, -2.64e-08], [0.0004908342677024, 1.6845003375303915, -5.15e-05], [-2.64e-08, -5.15e-05, 0.1100565693558022]]"
1BaBrCl-1,"[[1.8771881996121864, -0.002500689, -0.000589481], [-0.002500689, 1.8868013758610604, -0.0017095], [-0.000589481, -0.0017095, 0.1243699998737246]]"
1BaBrI-1,"[[1.9833440078450213, -0.003178086, 0.0005847762232238], [-0.003178086, 1.9915633497146417, -0.000158253], [0.0005847762232238, -0.000158253, 0.1026877638232749]]"
1BaCl2-1,"[[2.141434478254306, -0.060428862, 0.0104201403029721], [-0.060428862, 1.6461762631037702, 0.0240268747974967], [0.0104201403029721, 0.0240268747974967, 0.1234277774645229]]"
1BaCl2-2,"[[1.6915542745428511, 0.0001471345933289, -1.29e-07], [0.0001471345933289, 1.691519874425351, 1.566566279882817e-08], [-1.29e-07, 1.566566279882817e-08, 0.1323777631640616]]"
1BaClI-1,"[[1.9671025386234564, 0.002543547514641, 0.0008280513634904], [0.002543547514641, 1.9728459498700348, -0.000154196], [0.0008280513634904, -0.000154196, 0.1161926574558656]]"
1BaH2O2-1,"[[3.279124634195788, 0.0025774740512348, 0.0030464797029871], [0.0025774740512348, 3.2972503408581706, 0.0031470356225246], [0.0030464797029871, 0.0031470356225246, 0.12085460820729]]"
1BaH2S2-1,"[[1.609351600226343, 0.0019515936659447, -0.002280456], [0.0019515936659447, 1.6164857073816803, -0.000460209], [-0.002280456, -0.000460209, 0.1139014121116452]]"
1BaH2Se2-1,"[[1.7588874214185677, -0.013226161, 0.0015513928615211], [-0.013226161, 1.7600641384944191, -0.001529138], [0.0015513928615211, -0.001529138, 0.1058779332511274]]"
1BaI2-1,"[[2.012250964670723, 0.0001148595095562, -0.000166276], [0.0001148595095562, 2.0138033782623053, 1.358875095373501e-05], [-0.000166276, 1.358875095373501e-05, 0.092600089241887]]"
1BaI2-2,"[[1.6665124169434529, 0.0001052539599552, -1.06e-08], [0.0001052539599552, 1.6658423779887952, 8.578258379010624e-05], [-1.06e-08, 8.578258379010624e-05, 0.0878735905788318]]"
1BaSb2F12-1,"[[3.2497708782120114, 0.0353202933227619, 0.0229117439233894], [0.0353202933227619, 3.438769663222719, 0.0049793722473736], [0.0229117439233894, 0.0049793722473736, 0.2490776421454913]]"
1BeAs2F4O4-1,"[[0.7520846685491123, 0.1034901677217769, -0.004093732], [0.1034901677217769, 0.7548826598067206, 0.0042442116510864], [-0.004093732, 0.0042442116510864, 0.1031343846603288]]"
1BeP2F4S4-1,"[[0.7511916912329131, 0.1154851000638722, 0.0031827187768144], [0.1154851000638722, 0.7510080601820819, -0.003084731], [0.0031827187768144, -0.003084731, 0.0508853139002879]]"
1Bi2S3-1,"[[27.03337685830209, 1.1373735299864416, 0.0390024586753537], [1.1373735299864416, 28.49959150076593, -0.029520732], [0.0390024586753537, -0.029520732, 0.0417545383779694]]"
1Bi2Te3-1,"[[60.1697917063785, 22.96463364408078, 0.153152915394456], [22.96463364408078, 72.31011417853091, 0.1419551372196365], [0.153152915394456, 0.1419551372196365, 0.0252462298992076]]"
1BiBrS-1,"[[10.024018296634097, -0.681031263, -0.001891315], [-0.681031263, 10.99599130060534, -0.034201729], [-0.001891315, -0.034201729, 0.0271860998912445]]"
1BiBrS-2,"[[7.653365428868205, -0.00075611, -3.21e-05], [-0.00075611, 7.659077115779861, -2.85e-05], [-3.21e-05, -2.85e-05, 0.0307047075196264]]"
1BiBrSe-1,"[[13.231856428815265, -0.00110096, 0.0001530180619333], [-0.00110096, 13.212512575585864, -0.000292069], [0.0001530180619333, -0.000292069, 0.0247796289965721]]"
1BiBrSe-2,"[[7.612309819853326, 0.0001484794539652, -3.67e-05], [0.0001484794539652, 7.608766530641775, 0.0001683271642798], [-3.67e-05, 0.0001683271642798, 0.0296647014567244]]"
1BiBrTe-1,"[[12.0353009134464, -0.004553448, 0.0003172811129285], [-0.004553448, 12.050399287347824, -0.000224534], [0.0003172811129285, -0.000224534, 0.0264897869853687]]"
1BiBrTe-2,"[[8.517772123426274, -0.003816872, 0.0002835659437619], [-0.003816872, 8.498735236050628, -0.000105506], [0.0002835659437619, -0.000105506, 0.0313454001024235]]"
1BiClS-1,"[[14.797778583223137, -0.005048741, 0.0001999296266747], [-0.005048741, 14.768860210037491, -0.000303458], [0.0001999296266747, -0.000303458, 0.0337415838426655]]"
1BiClS-2,"[[7.915033751851141, -0.000440893, -7.32e-05], [-0.000440893, 7.932344778477105, -5.1e-06], [-7.32e-05, -5.1e-06, 0.0366612923593218]]"
1BiClSe-1,"[[11.332313820963195, -0.675724784, 0.0377280716043118], [-0.675724784, 10.79160805784635, 0.0218740029560805], [0.0377280716043118, 0.0218740029560805, 0.0336327904351718]]"
1BiClSe-2,"[[8.183751253301148, -0.003830733, -4.28e-05], [-0.003830733, 8.172191948728276, -2.19e-05], [-4.28e-05, -2.19e-05, 0.0366641647510356]]"
1BiClTe-1,"[[12.5884166798183, -0.000765896, 0.000167610740546], [-0.000765896, 12.606976378310751, -4.73e-05], [0.000167610740546, -4.73e-05, 0.0360871998965389]]"
1BiClTe-2,"[[10.656856804854812, 0.0027209470916833, 5.060989521990423e-05], [0.0027209470916833, 10.692619027472176, 0.0001018948063664], [5.060989521990423e-05, 0.0001018948063664, 0.039967505802291]]"
1BiCuAs2S6-1,"[[4.652200842620762, 0.0066286087100311, -0.000138654], [0.0066286087100311, 4.624552393196218, -0.000256435], [-0.000138654, -0.000256435, 0.0191362159942874]]"
1BiCuAs2Se6-1,"[[6.063034756533997, -0.003409078, 6.341056505887002e-05], [-0.003409078, 6.040925885765742, -0.00022129], [6.341056505887002e-05, -0.00022129, 0.0143730427887154]]"
1BiCuP2S6-1,"[[4.480091308955947, 0.003391295630866, 0.0001233386886601], [0.003391295630866, 4.446946794459391, -0.000388806], [0.0001233386886601, -0.000388806, 0.0202352142124926]]"
1BiCuP2Se6-1,"[[4.4591379174221055, 0.0074126999683547, -0.000231194], [0.0074126999683547, 4.487279335137471, 0.0006450270047437], [-0.000231194, 0.0006450270047437, 0.0158100705468013]]"
1BiCuSeTe-1,"[[18.751500512609525, 0.0728606195775247, -0.001063516], [0.0728606195775247, 18.828723335914955, -0.00080084], [-0.001063516, -0.00080084, 0.0096461597636845]]"
1BiFS-1,"[[14.742039230416353, 0.0209313809707201, 0.0065531118726126], [0.0209313809707201, 14.644068387359736, 0.0061584068678672], [0.0065531118726126, 0.0061584068678672, 0.0568225638350211]]"
1BiFSe-1,"[[14.766597041176048, -0.003124295, 0.0004414429838902], [-0.003124295, 14.3605011819323, 0.0032938840717269], [0.0004414429838902, 0.0032938840717269, 0.0563506123198879]]"
1BiFTe-1,"[[17.738497515322866, 0.0062399150838435, -0.000360264], [0.0062399150838435, 17.64063660214018, -0.002132587], [-0.000360264, -0.002132587, 0.0564478640052232]]"
1BiHTe2O6-1,"[[7.410792702472984, 6.365047995708345, -0.059679966], [6.365047995708345, 9.875826285624056, 0.0495507939567684], [-0.059679966, 0.0495507939567684, 0.1236480697653402]]"
1BiIS-1,"[[14.17237910118144, 0.0003191951987476, 0.0002136152817714], [0.0003191951987476, 14.176579853338676, -0.000162045], [0.0002136152817714, -0.000162045, 0.0211425729697995]]"
1BiIS-2,"[[7.684288050163351, -0.002516791, -2.04e-06], [-0.002516791, 7.6922838900229955, -1.99e-05], [-2.04e-06, -1.99e-05, 0.0274535979391463]]"
1BiISe-1,"[[10.951711480328386, -0.135481576, 0.0180369113640466], [-0.135481576, 10.028784707859405, -0.010409194], [0.0180369113640466, -0.010409194, 0.0172481711944931]]"
1BiISe-2,"[[7.156053407458466, -0.00182619, -7.14e-05], [-0.00182619, 7.1600265978353645, 7.324764114575022e-06], [-7.14e-05, 7.324764114575022e-06, 0.0250437950213084]]"
1BiITe-1,"[[11.869050460310795, -0.00550821, 0.0002478979419021], [-0.00550821, 11.863206575239134, -0.000250105], [0.0002478979419021, -0.000250105, 0.0190891826161189]]"
1BiITe-2,"[[7.141125365176023, -0.005998938, -0.000180706], [-0.005998938, 7.123524908504474, -0.000141546], [-0.000180706, -0.000141546, 0.0253909970879008]]"
1BiScCl2O2-1,"[[37.74490085855975, 2.844970658282593, 0.0048537057650836], [2.844970658282593, 16.487202705235422, -0.001310523], [0.0048537057650836, -0.001310523, 0.1193728388000009]]"
1Br2Cu2S3As4-1,"[[0.93775067870749, 0.000371391200774, 0.0003523889958388], [0.000371391200774, 0.9050172781810726, -0.011766183], [0.0003523889958388, -0.011766183, 0.0260927575257018]]"
1Br2Cu2S3P4-1,"[[0.7237358828827392, -0.001204348, -2e-05], [-0.001204348, 0.7171897430753416, -0.005013497], [-2e-05, -0.005013497, 0.022062985155298]]"
1Br2Cu2Se3As4-1,"[[0.977782684010743, 0.0012157825681143, 0.0006511110233297], [0.0012157825681143, 0.990606067626717, -0.020566208], [0.0006511110233297, -0.020566208, 0.024401009592906]]"
1Br2Cu2Se3P4-1,"[[0.6944149692548095, -0.00414384, -0.000115752], [-0.00414384, 0.8369112066259822, -0.012191948], [-0.000115752, -0.012191948, 0.0203322219202842]]"
1Br2Cu2Te3As4-1,"[[0.6389944188814903, -0.012033243, 0.0016457984534363], [-0.012033243, 1.3366098195295857, -0.043295665], [0.0016457984534363, -0.043295665, 0.024647420859291]]"
1Br2Hf2S3-1,"[[2.5826312242550387, 0.1767669384283614, 0.0062042195457535], [0.1767669384283614, 6.5391428846639, 0.1454448612997328], [0.0062042195457535, 0.1454448612997328, 0.069939539814413]]"
1Br2Hf3O5-1,"[[4.060376245842914, 0.7043287162282309, 0.1366608131654676], [0.7043287162282309, 3.483136212013143, 0.1658631996012344], [0.1366608131654676, 0.1658631996012344, 0.146705726438708]]"
1Br2Se2Pb3-1,"[[9.416261021843276, -0.221380921, -0.099837306], [-0.221380921, 8.248868655986017, 0.0142733284859363], [-0.099837306, 0.0142733284859363, 0.1787640128557143]]"
1Br2Zr2S3-1,"[[6.059521523760495, -1.753139685, 0.1097700276195617], [-1.753139685, 4.130306697645779, -0.065930442], [0.1097700276195617, -0.065930442, 0.0701460353539084]]"
1BrCdHO-1,"[[2.653457702784101, 0.0008793744767924, 9.45010882425482e-05], [0.0008793744767924, 2.671556090613573, -8.34e-05], [9.45010882425482e-05, -8.34e-05, 0.0443694834439121]]"
1BrCdHS-1,"[[3.8966477095451824, 0.007233908251347, 8.119305609649462e-06], [0.007233908251347, 3.9235147202861023, -0.000164381], [8.119305609649462e-06, -0.000164381, 0.0431176782018734]]"
1BrCdI-1,"[[4.239127730854027, -0.012609945, 0.002835679384938], [-0.012609945, 4.267348826751029, 0.0006242419202597], [0.002835679384938, 0.0006242419202597, 0.0510452740172241]]"
1BrClCa2S2-1,"[[3.5407674388840724, -0.25730246, 0.0434768891924485], [-0.25730246, 3.402287044660615, -0.028284014], [0.0434768891924485, -0.028284014, 0.1982400879733382]]"
1BrClCd2S2-1,"[[6.502271304857349, 0.010686396925763, -0.009348228], [0.010686396925763, 6.710336867065013, 0.0061944990964914], [-0.009348228, 0.0061944990964914, 0.1310757457127544]]"
1BrClCrRhS2-1,"[[14.682463359223872, 0.905681559716971, 0.0023174905626987], [0.905681559716971, 1.953972940618512, 0.0005603141726403], [0.0023174905626987, 0.0005603141726403, 0.0235356508962812]]"
1BrClGe2Se2-1,"[[3.763385269734926, 2.8036391306598327, 0.0021312663012196], [2.8036391306598327, 5.417510662565661, 0.0015663369717949], [0.0021312663012196, 0.0015663369717949, 0.0170986103458767]]"
1BrClHf-1,"[[0.3453298396284465, 7.36548137941649e-06, -4.64e-05], [7.36548137941649e-06, 0.3442965670099741, -1.05e-05], [-4.64e-05, -1.05e-05, 0.0092412296274131]]"
1BrClHfZrN2-1,"[[7.400733441793399, -0.317552221, 2.627301809220032e-05], [-0.317552221, 14.629353624455062, 0.0018676358064741], [2.627301809220032e-05, 0.0018676358064741, 0.0728468892676591]]"
1BrClI2O2V2-1,"[[1.7317603055162785, 1.2693791935771872, 0.0015693415064506], [1.2693791935771872, 2.140311139396034, -0.001262424], [0.0015693415064506, -0.001262424, 0.0241018394791446]]"
1BrClIn2S2-1,"[[16.277093311041984, -0.05653782, 0.0028256644060991], [-0.05653782, 4.302368390087394, 0.0029150261664085], [0.0028256644060991, 0.0029150261664085, 0.0772720405178108]]"
